m,lambda,empirical_rate,cdf,cramer_rate
16,0.09333333333333332,0.09469693645280593,0.219775,0.0229610804892052
16,0.09999999999999998,0.09469693645280593,0.219775,0.02128629279013944
16,0.10666666666666666,0.09469693645280593,0.219775,0.01968486650875212
16,0.11333333333333331,0.09469693645280593,0.219775,0.018155446093522154
16,0.12,0.07879717615155753,0.28344,0.016696715184003008
16,0.12666666666666665,0.07879717615155753,0.28344,0.015307395048497957
16,0.1333333333333333,0.07879717615155753,0.28344,0.013986243101553497
16,0.14,0.07879717615155753,0.28344,0.01273205149629128
16,0.14666666666666667,0.07879717615155753,0.28344,0.0115436457869664
16,0.15333333333333332,0.07879717615155753,0.28344,0.010419883657474122
16,0.15999999999999998,0.06517347382691951,0.352475,0.009359653711835836
16,0.16666666666666663,0.06517347382691951,0.352475,0.00836187432297511
16,0.17333333333333334,0.06517347382691951,0.352475,0.007425492536355549
16,0.18,0.06517347382691951,0.352475,0.006549483025290931
16,0.18666666666666665,0.06517347382691951,0.352475,0.005732847094952365
16,0.1933333333333333,0.06517347382691951,0.352475,0.004974611732304901
16,0.19999999999999996,0.06517347382691951,0.352475,0.004273828699388027
16,0.20666666666666667,0.05344017343497812,0.425265,0.003629573667528724
16,0.21333333333333332,0.05344017343497812,0.425265,0.0030409453902304345
16,0.21999999999999997,0.05344017343497812,0.425265,0.0025070649126319733
16,0.22666666666666663,0.05344017343497812,0.425265,0.002027074815565133
16,0.23333333333333334,0.05344017343497812,0.425265,0.0016001384923597095
16,0.24,0.05344017343497812,0.425265,0.001225439456672972
32,-0.12,0.17986256948081242,0.003165,0.1263268675187068
32,-0.11333333333333333,0.17986256948081242,0.003165,0.12122280458543777
32,-0.10666666666666666,0.17986256948081242,0.003165,0.11627317165247075
32,-0.1,0.16253720799429106,0.00551,0.11147350770451869
32,-0.09333333333333332,0.16253720799429106,0.00551,0.10681955975001234
32,-0.08666666666666667,0.16253720799429106,0.00551,0.10230726922955324
32,-0.08,0.14592839709767697,0.009375,0.097932759568359
32,-0.07333333333333333,0.14592839709767697,0.009375,0.09369232475527023
32,-0.06666666666666667,0.14592839709767697,0.009375,0.08958241884504525
32,-0.06,0.14592839709767697,0.009375,0.08559964629287986
32,-0.05333333333333333,0.13222486703035305,0.014535,0.08174075304063744
32,-0.04666666666666666,0.13222486703035305,0.014535,0.07800261828344135
32,-0.04000000000000001,0.13222486703035305,0.014535,0.07438224685323436
32,-0.03333333333333334,0.11971574856697981,0.02169,0.0708767621628672
32,-0.026666666666666672,0.11971574856697981,0.02169,0.06748339966034766
32,-0.020000000000000004,0.11971574856697981,0.02169,0.06419950074820646
32,-0.013333333333333336,0.10777869118354896,0.03178,0.061022507127619474
32,-0.006666666666666668,0.10777869118354896,0.03178,0.05794995553105092
32,0.0,0.10777869118354896,0.03178,0.05497947281081711
32,0.006666666666666654,0.09640627316600542,0.04573,0.05210877135419284
32,0.013333333333333336,0.09640627316600542,0.04573,0.04933564479854613
32,0.01999999999999999,0.09640627316600542,0.04573,0.046657964022508214
32,0.026666666666666672,0.09640627316600542,0.04573,0.044073673391465285
32,0.033333333333333326,0.08636216682634315,0.063065,0.04158078723765157
32,0.03999999999999998,0.08636216682634315,0.063065,0.039177386556945304
32,0.04666666666666666,0.08636216682634315,0.063065,0.0368616159060578
32,0.053333333333333316,0.07728365306357572,0.084325,0.03463168048527476
32,0.06,0.07728365306357572,0.084325,0.032485843393184166
32,0.06666666666666665,0.07728365306357572,0.084325,0.030422423041010616
32,0.07333333333333333,0.06944099090138028,0.10838,0.028439790715217017
32,0.07999999999999999,0.06944099090138028,0.10838,0.02653636827798811
32,0.08666666666666667,0.06944099090138028,0.10838,0.02471062599606899
32,0.09333333333333332,0.06204276532624833,0.13733,0.0229610804892052
32,0.09999999999999998,0.06204276532624833,0.13733,0.02128629279013944
